Time,Ixx,Iyy,Roll_Rate,Speed,Mach,Alt,Dyn_Pres,AoA_Rate,Sideslip_Rate,AoA,Sideslip
0.68,4.158186383,1276.8407651064,-0.0291643615,0.0292621536,0.0860018936,0.0114632306,523.8903044763,2.3944220195,-0.0037954087,2.6239576122074E-014,0
0.6942625,4.156713704,1276.3701396282,0.2005729626,0.0299440155,0.0880063116,0.011882125,548.5679100549,2.2841002387,-0.0035246817,0.0333563951,-5.26675097146573E-005
0.708525,4.155241025,1275.89951415,0.4399539413,0.0306260947,0.0900113971,0.0123106387,573.8200166421,2.1795952288,-0.0028687168,0.0651816019,-9.87102233323893E-005
0.7227875,4.153768346,1275.4288886718,0.6891312648,0.0313083903,0.0920171476,0.0127487747,599.6469879368,2.0802719594,-0.0018407988,0.095553974,-0.0001327294
0.73705,4.152295667,1274.9582631936,0.9482538401,0.0319909012,0.0940235612,0.0131965359,626.0491832636,1.9855581522,-0.0004535194,0.124543265,-0.0001495106
0.7513125,4.150822988,1274.4876377154,1.2174667316,0.0326736266,0.0960306356,0.0136539254,653.0269575968,1.8949368231,0.0012809183,0.1522114689,-0.0001440156
0.765575,4.149350309,1274.0170122372,1.4969111049,0.0333565655,0.0980383691,0.0141209459,680.5806615881,1.8079399053,0.0033504201,0.178613562,-0.0001113794
0.7798375,4.1478776301,1273.5463867591,1.786724173,0.0340397171,0.1000467599,0.0145976005,708.7106415954,1.7241427869,0.0057427425,0.2037981609,-4.69101098599051E-005
0.7941,4.1464049511,1273.0757612809,2.0870391451,0.0347230806,0.1020558063,0.0150838922,737.417239713,1.6431596226,0.0084452522,0.2278081075,5.39070724154245E-005
0.8083625,4.1449322721,1272.6051358027,2.3979851782,0.0354066554,0.1040655068,0.0155798238,766.7007938036,1.5646393058,0.0114447009,0.250680993,0.0001954025
0.822625,4.1434595931,1272.1345103245,2.719687331,0.0360904406,0.1060758599,0.0160853982,796.5616375327,1.4882620017,0.0147270144,0.2724496275,0.0003817121
0.8368875,4.1419869141,1271.6638848463,3.0522665211,0.0367744357,0.1080868644,0.0166006183,827.000100402,1.4137361657,0.018277093,0.2931424647,0.0006167638
0.85115,4.1405142351,1271.1932593681,3.3958394846,0.0374586398,0.1100985189,0.0171254871,858.0165077874,1.3407959746,0.0220786242,0.3127839863,0.0009042619
0.8654125,4.1390415561,1270.7226338899,3.7505187389,0.0381430525,0.1121108222,0.0176600074,889.6111809739,1.2691991181,0.0261139055,0.3313950529,0.0012476681
0.879675,4.1375688771,1270.2520084117,4.1164125477,0.038827673,0.1141237733,0.0182041822,921.7844371945,1.1987248998,0.0303636781,0.3489932252,0.001650181
0.8939375,4.1360961981,1269.7813829335,4.4936248894,0.0395125009,0.1161373712,0.0187580141,954.5365896678,1.1291726077,0.0348069715,0.3655930607,0.0021147123
0.9082,4.1346235191,1269.3107574553,4.8822554281,0.0401975355,0.1181516148,0.0193215062,987.8679476356,1.06036012,0.0394209585,0.3812063882,0.0026438617
0.9224625,4.1331508402,1268.8401319771,5.282399488,0.0408827763,0.1201665033,0.0198946613,1021.7788164015,0.992122715,0.0441808225,0.3958425646,0.003239889
0.936725,4.1316781612,1268.3695064989,5.6941480294,0.0415682229,0.1221820359,0.020477482,1056.2694973681,0.9243120616,0.0490596373,0.4095087151,0.0039046855
